,date,state,hosp,death
0,2022/08/08,NC,1.0,0.0
1,2022/08/09,NC,1.0,0.0
2,2022/08/10,NC,2.0,0.0
3,2022/08/11,NC,3.0,0.0
4,2022/08/12,NC,3.0,0.0
5,2022/08/13,NC,1.0,0.0
6,2022/08/14,NC,1.0,0.0
7,2022/08/15,NC,1.0,0.0
8,2022/08/16,NC,2.0,0.0
9,2022/08/17,NC,2.0,0.0
10,2022/08/18,NC,5.0,0.0
11,2022/08/19,NC,1.0,0.0
12,2022/08/20,NC,1.0,0.0
13,2022/08/21,NC,1.0,0.0
14,2022/08/22,NC,0.0,0.0
15,2022/08/23,NC,0.0,0.0
16,2022/08/24,NC,4.0,0.0
17,2022/08/25,NC,4.0,0.0
18,2022/08/26,NC,2.0,0.0
19,2022/08/27,NC,2.0,0.0
20,2022/08/28,NC,1.0,0.0
21,2022/08/29,NC,1.0,0.0
22,2022/08/30,NC,1.0,0.0
23,2022/08/31,NC,2.0,0.0
24,2022/09/01,NC,3.0,0.0
25,2022/09/02,NC,1.0,0.0
26,2022/09/03,NC,0.0,0.0
27,2022/09/04,NC,0.0,0.0
28,2022/09/05,NC,1.0,0.0
29,2022/09/06,NC,1.0,0.0
30,2022/09/07,NC,1.0,0.0
31,2022/09/08,NC,4.0,0.0
32,2022/09/09,NC,4.0,0.0
33,2022/09/10,NC,2.0,0.0
34,2022/09/11,NC,1.0,0.0
35,2022/09/12,NC,1.0,0.0
36,2022/09/13,NC,2.0,0.0
37,2022/09/14,NC,4.0,0.0
38,2022/09/15,NC,4.0,0.0
39,2022/09/16,NC,5.0,0.0
40,2022/09/17,NC,0.0,0.0
41,2022/09/18,NC,1.0,0.0
42,2022/09/19,NC,2.0,0.0
43,2022/09/20,NC,2.0,0.0
44,2022/09/21,NC,2.0,0.0
45,2022/09/22,NC,0.0,0.0
46,2022/09/23,NC,0.0,0.0
47,2022/09/24,NC,4.0,0.0
48,2022/09/25,NC,3.0,0.0
49,2022/09/26,NC,1.0,0.0
50,2022/09/27,NC,3.0,0.0
51,2022/09/28,NC,3.0,0.0
52,2022/09/29,NC,3.0,0.0
53,2022/09/30,NC,5.0,0.0
54,2022/10/01,NC,3.0,0.0
55,2022/10/02,NC,3.0,0.0
56,2022/10/03,NC,4.0,0.0
57,2022/10/04,NC,3.0,0.0
58,2022/10/05,NC,2.0,0.0
59,2022/10/06,NC,2.0,0.0
60,2022/10/07,NC,1.0,0.0
61,2022/10/08,NC,5.0,0.0
62,2022/10/09,NC,5.0,0.0
63,2022/10/10,NC,5.0,0.0
64,2022/10/11,NC,3.0,0.0
65,2022/10/12,NC,3.0,0.0
66,2022/10/13,NC,6.0,0.0
67,2022/10/14,NC,8.0,4.0
68,2022/10/15,NC,4.0,0.0
69,2022/10/16,NC,3.0,0.0
70,2022/10/17,NC,15.0,4.0
71,2022/10/18,NC,6.0,4.0
72,2022/10/19,NC,9.0,0.0
73,2022/10/20,NC,13.0,0.0
74,2022/10/21,NC,10.0,0.0
75,2022/10/22,NC,15.0,1.0
76,2022/10/23,NC,11.0,0.0
77,2022/10/24,NC,14.0,0.0
78,2022/10/25,NC,27.0,0.0
79,2022/10/26,NC,27.0,0.0
80,2022/10/27,NC,41.0,1.0
81,2022/10/28,NC,34.0,1.0
82,2022/10/29,NC,31.0,0.0
83,2022/10/30,NC,37.0,1.0
84,2022/10/31,NC,39.0,0.0
85,2022/11/01,NC,37.0,0.0
86,2022/11/02,NC,42.0,0.0
87,2022/11/03,NC,43.0,1.0
88,2022/11/04,NC,45.0,0.0
89,2022/11/05,NC,40.0,0.0
90,2022/11/06,NC,35.0,1.0
91,2022/11/07,NC,40.0,0.0
92,2022/11/08,NC,60.0,0.0
93,2022/11/09,NC,45.0,0.0
94,2022/11/10,NC,65.0,0.0
95,2022/11/11,NC,51.0,0.0
96,2022/11/12,NC,55.0,0.0
97,2022/11/13,NC,55.0,0.0
98,2022/11/14,NC,56.0,0.0
99,2022/11/15,NC,44.0,0.0
100,2022/11/16,NC,45.0,0.0
101,2022/11/17,NC,60.0,0.0
102,2022/11/18,NC,58.0,2.0
103,2022/11/19,NC,51.0,0.0
104,2022/11/20,NC,55.0,0.0
105,2022/11/21,NC,33.0,0.0
106,2022/11/22,NC,56.0,0.0
107,2022/11/23,NC,48.0,0.0
108,2022/11/24,NC,77.0,0.0
109,2022/11/25,NC,64.0,0.0
110,2022/11/26,NC,97.0,1.0
111,2022/11/27,NC,92.0,0.0
112,2022/11/28,NC,103.0,0.0
113,2022/11/29,NC,103.0,0.0
114,2022/11/30,NC,102.0,0.0
115,2022/12/01,NC,93.0,0.0
116,2022/12/02,NC,74.0,1.0
117,2022/12/03,NC,71.0,0.0
118,2022/12/04,NC,54.0,0.0
119,2022/12/05,NC,49.0,0.0
120,2022/12/06,NC,65.0,0.0
121,2022/12/07,NC,64.0,0.0
122,2022/12/08,NC,74.0,1.0
123,2022/12/09,NC,53.0,3.0
124,2022/12/10,NC,36.0,0.0
125,2022/12/11,NC,44.0,0.0
126,2022/12/12,NC,51.0,0.0
127,2022/12/13,NC,50.0,0.0
128,2022/12/14,NC,54.0,0.0
129,2022/12/15,NC,45.0,0.0
130,2022/12/16,NC,43.0,0.0
131,2022/12/17,NC,32.0,0.0
132,2022/12/18,NC,40.0,0.0
133,2022/12/19,NC,38.0,0.0
134,2022/12/20,NC,47.0,0.0
135,2022/12/21,NC,45.0,0.0
136,2022/12/22,NC,37.0,0.0
137,2022/12/23,NC,47.0,0.0
138,2022/12/24,NC,43.0,0.0
139,2022/12/25,NC,39.0,0.0
140,2022/12/26,NC,32.0,1.0
141,2022/12/27,NC,52.0,0.0
142,2022/12/28,NC,48.0,0.0
143,2022/12/29,NC,45.0,0.0
144,2022/12/30,NC,32.0,2.0
145,2022/12/31,NC,47.0,0.0
146,2023/01/01,NC,47.0,0.0
147,2023/01/02,NC,39.0,0.0
148,2023/01/03,NC,31.0,0.0
149,2023/01/04,NC,32.0,0.0
150,2023/01/05,NC,27.0,0.0
151,2023/01/06,NC,28.0,0.0
152,2023/01/07,NC,15.0,0.0
153,2023/01/08,NC,19.0,0.0
154,2023/01/09,NC,15.0,0.0
155,2023/01/10,NC,22.0,0.0
156,2023/01/11,NC,27.0,0.0
157,2023/01/12,NC,15.0,0.0
158,2023/01/13,NC,20.0,0.0
159,2023/01/14,NC,16.0,0.0
160,2023/01/15,NC,12.0,0.0
161,2023/01/16,NC,12.0,0.0
162,2023/01/17,NC,8.0,0.0
163,2023/01/18,NC,6.0,0.0
164,2023/01/19,NC,12.0,0.0
165,2023/01/20,NC,9.0,0.0
166,2023/01/21,NC,4.0,0.0
167,2023/01/22,NC,8.0,1.0
168,2023/01/23,NC,6.0,0.0
169,2023/01/24,NC,4.0,0.0
170,2023/01/25,NC,4.0,0.0
171,2023/01/26,NC,7.0,0.0
172,2023/01/27,NC,3.0,0.0
173,2023/01/28,NC,10.0,0.0
174,2023/01/29,NC,1.0,0.0
175,2023/01/30,NC,2.0,0.0
176,2023/01/31,NC,7.0,0.0
177,2023/02/01,NC,7.0,0.0
178,2023/02/02,NC,8.0,0.0
179,2023/02/03,NC,7.0,0.0
180,2023/02/04,NC,8.0,0.0
181,2023/02/05,NC,6.0,0.0
182,2023/02/06,NC,8.0,0.0
183,2023/02/07,NC,4.0,0.0
184,2023/02/08,NC,8.0,0.0
185,2023/02/09,NC,15.0,1.0
186,2023/02/10,NC,8.0,1.0
187,2023/02/11,NC,7.0,1.0
188,2023/02/12,NC,5.0,1.0
189,2023/02/13,NC,5.0,0.0
190,2023/02/14,NC,5.0,0.0
191,2023/02/15,NC,6.0,0.0
192,2023/02/16,NC,12.0,0.0
193,2023/02/17,NC,6.0,0.0
194,2023/02/18,NC,7.0,0.0
195,2023/02/19,NC,1.0,0.0
196,2023/02/20,NC,6.0,0.0
197,2023/02/21,NC,3.0,0.0
198,2023/02/22,NC,4.0,0.0
199,2023/02/23,NC,3.0,0.0
200,2023/02/24,NC,8.0,0.0
201,2023/02/25,NC,4.0,0.0
202,2023/02/26,NC,3.0,0.0
203,2023/02/27,NC,4.0,0.0
204,2023/02/28,NC,8.0,0.0
205,2023/03/01,NC,6.0,0.0
206,2023/03/02,NC,6.0,0.0
207,2023/03/03,NC,2.0,0.0
208,2023/03/04,NC,5.0,0.0
209,2023/03/05,NC,3.0,0.0
210,2023/03/06,NC,6.0,0.0
211,2023/03/07,NC,4.0,0.0
212,2023/03/08,NC,4.0,0.0
